epoch,loss,loss_gfp_pc,loss_irvis,loss_medical,quota_gfp_pc,quota_irvis,quota_medical
1,2.5937958266461676,2.25224158860786,2.1356220191204773,3.126867848432014,3894,3249,3468
2,2.483799425886737,2.1290672594505944,2.0637586691098497,2.998996125635786,3894,3249,3468
3,2.449582722632767,2.104392418889213,2.038423823790979,2.946291228520215,3894,3249,3468
4,2.4234275099404954,2.0842387061074823,2.0205170564466677,2.9059069513241735,3894,3249,3468
5,2.4232049774245685,2.09825229857444,2.0300853468534212,2.880767938246876,3894,3249,3468
6,2.4090281520516252,2.0940979533100528,2.0149239113387605,2.8558423257716172,3894,3249,3468
7,2.400475712165824,2.0942178692303384,1.996185233319461,2.8474774235691616,3894,3249,3468
8,2.393051833603378,2.08698269893454,2.001862165477776,2.8344966883962255,4012,3249,3468
9,2.3889250561557627,2.088208518569046,1.9959875533458944,2.8188086232768597,3894,3249,3468
10,2.3900911593596037,2.0907069275225454,2.0023933080630325,2.8212254742061513,4012,3249,3468
11,2.3768917158460647,2.072775816009625,1.9862843487557929,2.816249988690086,4012,3249,3468
12,2.390844988160777,2.08241502877768,2.015261454979958,2.8137129664372367,3894,3249,3468
13,2.381495615850427,2.0780469276546225,2.000288927572955,2.8040771866660075,3894,3249,3468
14,2.3674995910330114,2.0696411146816747,1.9809751862421217,2.7964972490013387,4012,3249,3468
15,2.3758026878862823,2.080765608922134,1.98678978414228,2.8026507597387385,4012,3249,3468
16,2.3691810996497273,2.0716349262262566,1.9836328656648246,2.7963161881412346,4012,3249,3468
17,2.366165255106908,2.075379240655348,1.9760606508411256,2.7897573915260576,4012,3249,3468
18,2.3644248883675147,2.0757779367353955,1.9680095769069328,2.791682605221077,4012,3249,3468
19,2.367265405051344,2.0705382396446566,1.97982722385508,2.7956601611618463,4012,3249,3468
20,2.382082827046851,2.0903869691193946,2.0077037655901098,2.7911464962166304,4012,3249,3468
