epoch,lr,loss,content,structure,ssim,rmi,intensity,grad,aux,sec
1,0.001,5.952628559075195,2.1731398324885576,1.8261361962551221,1.7906620303602516,2.057551174045792,0.11558865844276466,0.0354741670535377,12.721633694511219,600.3343727588654
2,0.0008,5.467823726403807,1.994496757533761,1.6729797251824496,1.646043297033283,1.8977720237988949,0.09672473373486679,0.026936429147200413,12.736752131657147,598.5184743404388
3,0.00064,5.257753871686339,1.9531116471652459,1.5908122468286814,1.5657700118200606,1.854481457385483,0.09863018977976318,0.025042236143587953,12.301773360717084,599.1751456260681
4,0.0005120000000000001,5.110702669075547,1.9263397993833768,1.5315619483519904,1.5077656706361473,1.8289895999442471,0.0973501994391301,0.023796277968643073,12.123897565074062,599.4985067844391
5,0.0004096000000000001,5.0653248709753385,1.9142884367135506,1.5150781073287116,1.492122534195507,1.817272704630576,0.09701573208297457,0.02295557341497114,12.088022233853353,599.8597962856293
6,0.0003276800000000001,5.050052110723477,1.9121200243477594,1.5085957830071337,1.485895585272247,1.814604344202593,0.09751568014516682,0.022700198008753465,12.074052298327418,599.7537076473236
7,0.0002621440000000001,5.0090964866790255,1.9031783181559965,1.4927291715066462,1.4704598672652895,1.8058896226979178,0.0972886954580805,0.02226930357424523,12.045982828239131,600.2744743824005
8,0.00020971520000000012,4.989039601464776,1.8957311368802874,1.4864684682651919,1.4645651954170895,1.7979598154507914,0.09777132142949621,0.021903272321435442,12.037153082226494,600.1726961135864
9,0.0001677721600000001,4.973766177497339,1.8805812144039356,1.4864600612575665,1.4648066113064808,1.7831373647199482,0.09744384968398766,0.02165345054709692,12.026484332143081,600.1913862228394
10,0.00013421772800000008,4.972966884202288,1.8864648336830634,1.4831685134535348,1.4615967188321903,1.78970395528572,0.09676087839734318,0.021571794793388957,12.016502616767273,600.5328419208527
11,0.00010737418240000007,4.960562922852388,1.8801517172662636,1.480123269119766,1.4586295062477694,1.7834973832879901,0.09665433397827342,0.02149376251561871,12.016467003638063,600.5450639724731
12,8.589934592000007e-05,4.948678595789055,1.8712152682779128,1.478672820256635,1.4573278451842255,1.7749905684098046,0.09622469986810873,0.021344975581520802,12.011768961267354,600.3072602748871
13,6.871947673600006e-05,4.949281220836319,1.873547947928051,1.4778086600946323,1.456573896426058,1.776296943443921,0.09725100448413013,0.0212347645805859,12.011595546244227,600.3146269321442
14,5.497558138880005e-05,4.941666132862532,1.8723483154694722,1.4746097534698321,1.4535213350463205,1.775737627206513,0.09661068826295878,0.021088417186722174,12.009831312576855,600.4692764282227
15,4.3980465111040044e-05,4.933704718631548,1.8641998177565937,1.4747054557773327,1.4535934256563536,1.7670820050195715,0.097117812737022,0.021112029367845425,12.009399211822423,600.6507852077484
16,3.5184372088832036e-05,4.931179189429328,1.8637069928405727,1.473699689697927,1.4525612170240094,1.7675252201386182,0.09618177270195487,0.021138473061017838,12.007281988325488,600.9103624820709
17,2.814749767106563e-05,4.9150986762448845,1.8581767423768414,1.4684338270775223,1.4474324367722737,1.7619626527745247,0.09621408960231624,0.0210013909890377,12.005428240503711,601.0292468070984
18,2.2517998136852506e-05,4.914549290994321,1.8560632278029723,1.4692200285213157,1.4482455931105331,1.75947076020873,0.09659246759424223,0.020974435753116173,12.00460089073217,600.5117242336273
19,1.8014398509482006e-05,4.934638376844125,1.8649472789940051,1.474823561847266,1.4538235935144668,1.7682800864441997,0.0966671925498055,0.020999969272021975,12.004397676307901,600.391699552536
20,1.4411518807585605e-05,4.9343710838374255,1.8667526940137047,1.4737868871922541,1.4527581040304185,1.7692477634026056,0.09750493061109942,0.021028782522813202,12.004461807085589,600.4885740280151
