epoch,loss,content,structure,ssim,rmi,intensity,grad,sec
1,9.673074143991,2.1122583964120576,3.7804078737894695,3.714046761724684,1.9963669411326022,0.11589145527945624,0.06636111065745354,90.8485460281372
2,6.067329362274269,1.7123299286508493,2.17749971681171,2.15825795729955,1.5998955021213097,0.11243442652953996,0.01924176016408536,89.58929085731506
3,5.355474349660518,1.614191690553737,1.8706413295533921,1.8536916189723545,1.514108411937468,0.10008327861626944,0.01694970391690731,89.65494561195374
4,4.833927875254149,1.6070669149295431,1.6134304801623027,1.5985155383745828,1.5162502463429444,0.09081666858659851,0.014914936831014023,89.58164024353027
5,4.613559928675285,1.5953493851487397,1.5091052717632718,1.4948625021510653,1.5107219482194612,0.0846274369292789,0.014242768122090233,89.60600733757019
6,4.460041460407939,1.5803217712506665,1.439859844578637,1.4262068973647224,1.4999934444955667,0.08032832675509982,0.013652943374796046,89.55936002731323
7,4.328206683601221,1.5739601414123658,1.3771232710944281,1.3639262861675687,1.4966024624691554,0.07735767894321018,0.01319698497859968,89.58790445327759
8,4.307656796396092,1.574261370917475,1.3666977127393087,1.3536211517122057,1.499205066714336,0.07505630420313941,0.013076566170073217,89.56864881515503
9,4.169594906441202,1.5704182426186006,1.2995883319112989,1.2869807243347169,1.4974049923371877,0.0730132502814134,0.012607609097742372,89.55709171295166
10,4.124944285900936,1.5771253602553192,1.2739094628228083,1.2614436798625521,1.50549046001654,0.07163490023877886,0.012465783291392855,89.57738518714905
