epoch,loss,loss_gfp_pc,loss_irvis,loss_medical,quota_gfp_pc,quota_irvis,quota_medical
1,2.4628314763241557,2.2171065008966355,2.108541392722394,3.0619811127408267,3894,3249,3468
2,2.3560362052620167,2.1103622666015807,2.065070388204061,2.901408883953207,3894,3249,3468
3,2.3276162445460544,2.0985162334363756,2.026084056509054,2.8655477862637553,3894,3249,3468
4,2.3065269936710666,2.075180940679875,2.0218898782261365,2.8321150791595455,3894,3249,3468
5,2.2977705729435534,2.075813998381512,2.003787869879093,2.821347740302557,3894,3249,3468
6,2.2835883298326953,2.0728529581932347,1.984160688542058,2.799832147985861,3894,3249,3468
7,2.285073068108891,2.065411899429278,2.015679086562821,2.7835089224734557,3894,3249,3468
8,2.2842816228653233,2.07396502956714,2.005521989494769,2.7810675975702,3894,3249,3468
9,2.2764765643378833,2.0659752864964123,2.0003775427633705,2.7712362916805895,3894,3249,3468
10,2.2680902184972878,2.0675306386841887,1.983370953482549,2.759771639578873,3894,3249,3468
11,2.2646555068902283,2.0668768286254418,1.9800901707100935,2.752704106893536,3894,3249,3468
12,2.257197589700024,2.0578082025967963,1.9748864228499283,2.745155485588279,3894,3249,3468
13,2.2515396626093955,2.0531743992174625,1.9580179601713033,2.7488849472864065,3894,3249,3468
14,2.258590298337608,2.0526478698946904,1.982456910522425,2.748166046396263,3894,3249,3468
15,2.2511368613571823,2.0453476952389997,1.9717519395092047,2.7433966652149575,3894,3249,3468
16,2.2487920627457516,2.0517421255718054,1.962622355229757,2.738219834516692,3894,3249,3468
17,2.2439600904704085,2.0511591979832167,1.9521892295576158,2.733414580824629,3894,3249,3468
18,2.253901313802655,2.0598193247531165,1.9758581115188738,2.7319740603755465,3894,3249,3468
19,2.2562087480401356,2.062312838089143,1.9728362001034092,2.7388496429430504,3894,3249,3468
20,2.2523444434592017,2.056282512968399,1.9670072779761967,2.7395092370556555,3894,3249,3468
