/ytech_m2v4_hdd/lizhongyin/venv/lib/python3.11/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
/ytech_m2v4_hdd/lizhongyin/venv/lib/python3.11/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4322.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
train crops: 10611  batches/epoch: 663  per-task: {'gfp_pc': 3894, 'irvis': 3249, 'medical': 3468}
tasks (id order): ['gfp_pc', 'irvis', 'medical']  task_adaptive=False
MoE params: 1.39M  routed=12 k=2 shared=1 task_cond=True
/ytech_m2v4_hdd/lizhongyin/code/Graduation-Paper/losses/__init__.py:256: UserWarning: torch.cholesky is deprecated in favor of torch.linalg.cholesky and will be removed in a future PyTorch release.
L = torch.cholesky(A)
should be replaced with
L = torch.linalg.cholesky(A)
and
U = torch.cholesky(A, upper=True)
should be replaced with
U = torch.linalg.cholesky(A).mH
This transform will produce equivalent results for all valid (symmetric positive definite) inputs. (Triggered internally at /pytorch/aten/src/ATen/native/BatchLinearAlgebra.cpp:1765.)
  x = torch.cholesky(x)
/ytech_m2v4_hdd/lizhongyin/code/Graduation-Paper/train_moe.py:175: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:835.)
  agg["rmi"] += loss_rmi.item(); agg["intensity"] += float(loss_int)
epoch 1/20  lr 1.00e-03  loss 2.0291 (content 1.8874 structure 0.0693 aux 31.0091)  299.2s
epoch 2/20  lr 8.00e-04  loss 1.9271 (content 1.8263 structure 0.0498 aux 12.2468)  298.4s
epoch 3/20  lr 6.40e-04  loss 1.9009 (content 1.8026 structure 0.0488 aux 7.3980)  298.2s
epoch 4/20  lr 5.12e-04  loss 1.8918 (content 1.8032 structure 0.0440 aux 5.2334)  298.1s
epoch 5/20  lr 4.10e-04  loss 1.8752 (content 1.7849 structure 0.0449 aux 4.2935)  297.8s
epoch 6/20  lr 3.28e-04  loss 1.8627 (content 1.7750 structure 0.0437 aux 3.7118)  297.8s
epoch 7/20  lr 2.62e-04  loss 1.8603 (content 1.7774 structure 0.0413 aux 3.1094)  297.8s
epoch 8/20  lr 2.10e-04  loss 1.8639 (content 1.7818 structure 0.0409 aux 2.6970)  297.6s
epoch 9/20  lr 1.68e-04  loss 1.8467 (content 1.7635 structure 0.0415 aux 2.5144)  297.4s
epoch 10/20  lr 1.34e-04  loss 1.8413 (content 1.7566 structure 0.0422 aux 2.4120)  297.3s
epoch 11/20  lr 1.07e-04  loss 1.8397 (content 1.7575 structure 0.0410 aux 2.2187)  297.5s
epoch 12/20  lr 8.59e-05  loss 1.8297 (content 1.7496 structure 0.0400 aux 2.1459)  297.6s
epoch 13/20  lr 6.87e-05  loss 1.8431 (content 1.7623 structure 0.0403 aux 2.0877)  297.5s
epoch 14/20  lr 5.50e-05  loss 1.8373 (content 1.7531 structure 0.0420 aux 2.0122)  297.3s
epoch 15/20  lr 4.40e-05  loss 1.8320 (content 1.7523 structure 0.0397 aux 2.0101)  297.4s
epoch 16/20  lr 3.52e-05  loss 1.8427 (content 1.7588 structure 0.0418 aux 1.9733)  297.5s
epoch 17/20  lr 2.81e-05  loss 1.8280 (content 1.7514 structure 0.0382 aux 1.9440)  297.6s
epoch 18/20  lr 2.25e-05  loss 1.8343 (content 1.7550 structure 0.0396 aux 1.9059)  297.6s
epoch 19/20  lr 1.80e-05  loss 1.8227 (content 1.7418 structure 0.0404 aux 1.8475)  297.7s
epoch 20/20  lr 1.44e-05  loss 1.8304 (content 1.7481 structure 0.0411 aux 1.8633)  297.6s
training done
