/ytech_m2v4_hdd/lizhongyin/venv/lib/python3.11/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
/ytech_m2v4_hdd/lizhongyin/venv/lib/python3.11/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4322.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
train crops: 10611  batches/epoch: 663  per-task: {'gfp_pc': 3894, 'irvis': 3249, 'medical': 3468}
tasks (id order): ['gfp_pc', 'irvis', 'medical']  task_adaptive=False
MoE params: 1.39M  routed=12 k=2 shared=1 task_cond=True
/ytech_m2v4_hdd/lizhongyin/code/Graduation-Paper/losses/__init__.py:256: UserWarning: torch.cholesky is deprecated in favor of torch.linalg.cholesky and will be removed in a future PyTorch release.
L = torch.cholesky(A)
should be replaced with
L = torch.linalg.cholesky(A)
and
U = torch.cholesky(A, upper=True)
should be replaced with
U = torch.linalg.cholesky(A).mH
This transform will produce equivalent results for all valid (symmetric positive definite) inputs. (Triggered internally at /pytorch/aten/src/ATen/native/BatchLinearAlgebra.cpp:1765.)
  x = torch.cholesky(x)
/ytech_m2v4_hdd/lizhongyin/code/Graduation-Paper/train_moe.py:205: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:835.)
  agg["rmi"] += loss_rmi.item(); agg["intensity"] += float(loss_int)
epoch 1/20  lr 1.00e-03  loss 2.1774 (content 1.8770 structure 0.1042 aux 9.1894)  299.3s
epoch 2/20  lr 8.00e-04  loss 2.0987 (content 1.8405 structure 0.0838 aux 9.0547)  298.4s
epoch 3/20  lr 6.40e-04  loss 2.0666 (content 1.8199 structure 0.0783 aux 9.0240)  298.5s
epoch 4/20  lr 5.12e-04  loss 2.0418 (content 1.7999 structure 0.0758 aux 9.0236)  298.7s
epoch 5/20  lr 4.10e-04  loss 2.0397 (content 1.8029 structure 0.0733 aux 9.0190)  298.6s
epoch 6/20  lr 3.28e-04  loss 2.0306 (content 1.7947 structure 0.0729 aux 9.0137)  298.5s
epoch 7/20  lr 2.62e-04  loss 2.0196 (content 1.7858 structure 0.0718 aux 9.0147)  298.5s
epoch 8/20  lr 2.10e-04  loss 2.0218 (content 1.7886 structure 0.0715 aux 9.0123)  298.7s
epoch 9/20  lr 1.68e-04  loss 2.0180 (content 1.7870 structure 0.0704 aux 9.0097)  298.7s
epoch 10/20  lr 1.34e-04  loss 2.0051 (content 1.7738 structure 0.0706 aux 9.0095)  298.5s
epoch 11/20  lr 1.07e-04  loss 2.0010 (content 1.7700 structure 0.0705 aux 9.0069)  298.8s
epoch 12/20  lr 8.59e-05  loss 2.0080 (content 1.7764 structure 0.0708 aux 9.0043)  298.8s
epoch 13/20  lr 6.87e-05  loss 1.9924 (content 1.7644 structure 0.0690 aux 9.0060)  298.8s
epoch 14/20  lr 5.50e-05  loss 1.9960 (content 1.7634 structure 0.0712 aux 9.0061)  298.7s
epoch 15/20  lr 4.40e-05  loss 2.0041 (content 1.7745 structure 0.0697 aux 9.0048)  298.9s
epoch 16/20  lr 3.52e-05  loss 1.9884 (content 1.7603 structure 0.0690 aux 9.0047)  298.7s
epoch 17/20  lr 2.81e-05  loss 1.9930 (content 1.7652 structure 0.0689 aux 9.0039)  299.0s
epoch 18/20  lr 2.25e-05  loss 1.9973 (content 1.7662 structure 0.0705 aux 9.0046)  298.8s
epoch 19/20  lr 1.80e-05  loss 1.9933 (content 1.7600 structure 0.0716 aux 9.0029)  298.7s
epoch 20/20  lr 1.44e-05  loss 1.9853 (content 1.7564 structure 0.0694 aux 9.0038)  298.7s
training done
