/ytech_m2v4_hdd/lizhongyin/venv/lib/python3.11/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
/ytech_m2v4_hdd/lizhongyin/venv/lib/python3.11/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4322.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
train crops: 10611  batches/epoch: 663  per-task: {'gfp_pc': 3894, 'irvis': 3249, 'medical': 3468}
tasks (id order): ['gfp_pc', 'irvis', 'medical']  task_adaptive=False
MoE params: 1.39M  routed=12 k=2 shared=1 task_cond=True
/ytech_m2v4_hdd/lizhongyin/code/Graduation-Paper/losses/__init__.py:256: UserWarning: torch.cholesky is deprecated in favor of torch.linalg.cholesky and will be removed in a future PyTorch release.
L = torch.cholesky(A)
should be replaced with
L = torch.linalg.cholesky(A)
and
U = torch.cholesky(A, upper=True)
should be replaced with
U = torch.linalg.cholesky(A).mH
This transform will produce equivalent results for all valid (symmetric positive definite) inputs. (Triggered internally at /pytorch/aten/src/ATen/native/BatchLinearAlgebra.cpp:1765.)
  x = torch.cholesky(x)
/ytech_m2v4_hdd/lizhongyin/code/Graduation-Paper/train_moe.py:173: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:835.)
  agg["rmi"] += loss_rmi.item(); agg["intensity"] += float(loss_int)
epoch 1/20  lr 1.00e-03  loss 3.1060 (content 2.8052 structure 0.0777 aux 9.2163)  299.2s
epoch 2/20  lr 8.00e-04  loss 2.9827 (content 2.7123 structure 0.0593 aux 9.0665)  298.4s
epoch 3/20  lr 6.40e-04  loss 2.9600 (content 2.6939 structure 0.0568 aux 9.0378)  297.7s
epoch 4/20  lr 5.12e-04  loss 2.9303 (content 2.6707 structure 0.0527 aux 9.0217)  298.0s
epoch 5/20  lr 4.10e-04  loss 2.8888 (content 2.6327 structure 0.0505 aux 9.0139)  298.1s
epoch 6/20  lr 3.28e-04  loss 2.8832 (content 2.6282 structure 0.0498 aux 9.0108)  298.0s
epoch 7/20  lr 2.62e-04  loss 2.8847 (content 2.6301 structure 0.0496 aux 9.0124)  298.4s
epoch 8/20  lr 2.10e-04  loss 2.8735 (content 2.6201 structure 0.0488 aux 9.0064)  298.3s
epoch 9/20  lr 1.68e-04  loss 2.8549 (content 2.6022 structure 0.0484 aux 9.0051)  298.3s
epoch 10/20  lr 1.34e-04  loss 2.8646 (content 2.6078 structure 0.0511 aux 9.0044)  298.4s
epoch 11/20  lr 1.07e-04  loss 2.8544 (content 2.5996 structure 0.0498 aux 9.0040)  298.6s
epoch 12/20  lr 8.59e-05  loss 2.8391 (content 2.5855 structure 0.0490 aux 9.0035)  298.4s
epoch 13/20  lr 6.87e-05  loss 2.8342 (content 2.5820 structure 0.0481 aux 9.0024)  298.5s
epoch 14/20  lr 5.50e-05  loss 2.8398 (content 2.5852 structure 0.0497 aux 9.0025)  298.5s
epoch 15/20  lr 4.40e-05  loss 2.8304 (content 2.5763 structure 0.0494 aux 9.0015)  298.7s
epoch 16/20  lr 3.52e-05  loss 2.8340 (content 2.5817 structure 0.0482 aux 9.0016)  298.6s
epoch 17/20  lr 2.81e-05  loss 2.8395 (content 2.5873 structure 0.0481 aux 9.0020)  298.4s
epoch 18/20  lr 2.25e-05  loss 2.8190 (content 2.5655 structure 0.0490 aux 9.0018)  298.5s
epoch 19/20  lr 1.80e-05  loss 2.8394 (content 2.5855 structure 0.0492 aux 9.0015)  298.4s
epoch 20/20  lr 1.44e-05  loss 2.8336 (content 2.5789 structure 0.0498 aux 9.0012)  298.5s
training done
