/ytech_m2v4_hdd/lizhongyin/venv/lib/python3.11/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
/ytech_m2v4_hdd/lizhongyin/venv/lib/python3.11/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4322.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
train crops: 10611  batches/epoch: 1061  per-task: {'gfp_pc': 3894, 'irvis': 3249, 'medical': 3468}
tasks (id order): ['gfp_pc', 'irvis', 'medical']  task_adaptive=False
MoE params: 3.81M  routed=12 k=2 shared=0 task_cond=True
/ytech_m2v4_hdd/lizhongyin/code/Graduation-Paper/losses/__init__.py:256: UserWarning: torch.cholesky is deprecated in favor of torch.linalg.cholesky and will be removed in a future PyTorch release.
L = torch.cholesky(A)
should be replaced with
L = torch.linalg.cholesky(A)
and
U = torch.cholesky(A, upper=True)
should be replaced with
U = torch.linalg.cholesky(A).mH
This transform will produce equivalent results for all valid (symmetric positive definite) inputs. (Triggered internally at /pytorch/aten/src/ATen/native/BatchLinearAlgebra.cpp:1765.)
  x = torch.cholesky(x)
/ytech_m2v4_hdd/lizhongyin/code/Graduation-Paper/train_moe.py:214: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:835.)
  agg["rmi"] += loss_rmi.item(); agg["intensity"] += float(loss_int)
epoch 1/20  lr 1.00e-03  loss 2.2157 (content 1.9525 structure 0.0701 aux 12.3033)  532.5s
epoch 2/20  lr 8.00e-04  loss 2.1116 (content 1.8768 structure 0.0570 aux 12.0807)  531.4s
epoch 3/20  lr 6.40e-04  loss 2.0884 (content 1.8707 structure 0.0486 aux 12.0452)  531.4s
epoch 4/20  lr 5.12e-04  loss 2.0843 (content 1.8680 structure 0.0480 aux 12.0313)  531.6s
epoch 5/20  lr 4.10e-04  loss 2.0653 (content 1.8516 structure 0.0467 aux 12.0263)  531.2s
epoch 6/20  lr 3.28e-04  loss 2.0470 (content 1.8342 structure 0.0463 aux 12.0199)  531.3s
epoch 7/20  lr 2.62e-04  loss 2.0436 (content 1.8339 structure 0.0448 aux 12.0140)  531.6s
epoch 8/20  lr 2.10e-04  loss 2.0451 (content 1.8369 structure 0.0440 aux 12.0108)  531.4s
epoch 9/20  lr 1.68e-04  loss 2.0274 (content 1.8169 structure 0.0452 aux 12.0089)  531.4s
epoch 10/20  lr 1.34e-04  loss 2.0263 (content 1.8166 structure 0.0448 aux 12.0068)  531.4s
epoch 11/20  lr 1.07e-04  loss 2.0151 (content 1.8063 structure 0.0444 aux 12.0060)  531.7s
epoch 12/20  lr 8.59e-05  loss 2.0113 (content 1.8068 structure 0.0422 aux 12.0044)  531.5s
epoch 13/20  lr 6.87e-05  loss 2.0181 (content 1.8120 structure 0.0430 aux 12.0041)  531.9s
epoch 14/20  lr 5.50e-05  loss 2.0103 (content 1.8027 structure 0.0438 aux 12.0039)  531.8s
epoch 15/20  lr 4.40e-05  loss 2.0128 (content 1.8039 structure 0.0445 aux 12.0033)  531.5s
epoch 16/20  lr 3.52e-05  loss 2.0016 (content 1.7954 structure 0.0431 aux 12.0036)  531.5s
epoch 17/20  lr 2.81e-05  loss 1.9952 (content 1.7897 structure 0.0428 aux 12.0030)  532.0s
epoch 18/20  lr 2.25e-05  loss 1.9862 (content 1.7820 structure 0.0421 aux 12.0021)  531.6s
epoch 19/20  lr 1.80e-05  loss 1.9991 (content 1.7917 structure 0.0437 aux 12.0016)  531.4s
epoch 20/20  lr 1.44e-05  loss 2.0096 (content 1.8019 structure 0.0438 aux 12.0027)  531.7s
training done
